Klo;07:00-08:00;08:00-09:00;09:00-10:00;10:00-11:00;11:00-12:00;12:00-13:00;13:00-14:00;14:00-15:00;15:00-16:00;16:00-17:00;17:00-18:00;18:00-19:00
Viipurisali 1.10.2019;0;118;120;119;112;196;49;47;4;3;36;36
Viipurisali 8.10.2019;0;2;2;106;106;205;2;0;0;1;23;24
Viipurisali 15.10.2019;0;34;5;73;68;147;153;151;56;55;8;8
Viipurisali 22.10.2019;0;152;128;38;6;0;0;0;5;158;156;118
Viipurisali 29.10.2019;0;2;3;117;114;168;158;73;52;1;25;26
Viipurisali 5.11.2019;0;2;1;77;14;154;156;6;2;2;20;20
Viipurisali 12.11.2019;0;1;2;98;30;101;99;1;1;2;19;18
Viipurisali 19.11.2019;0;0;0;79;26;116;111;46;46;2;17;15
Viipurisali 26.11.2019;0;2;2;95;20;96;92;1;2;1;11;9
1478 1.10.2019;0;7;23;22;20;14;12;7;6;14;13;4
1478 8.10.2019;0;4;6;5;2;14;8;2;4;13;12;5
1478 15.10.2019;0;1;2;2;2;13;4;4;4;14;11;2
1478 22.10.2019;0;2;2;2;2;2;2;2;2;2;1;0
1478 29.10.2019;0;7;8;6;2;3;2;5;2;1;0;0
1478 5.11.2019;0;2;3;2;2;3;26;28;0;1;0;0
1478 12.11.2019;0;6;6;4;2;16;20;3;4;1;0;0
1478 19.11.2019;0;0;1;0;0;0;0;4;6;6;4;0
1478 26.11.2019;0;4;6;3;1;2;2;5;4;1;1;1
1478 1.10.2019;0;10;23;24;21;20;12;8;6;14;13;4
1478 8.10.2019;0;6;6;5;3;14;8;2;4;13;12;8
1478 15.10.2019;0;2;2;2;2;14;5;4;5;14;12;6
1478 22.10.2019;0;2;2;2;2;2;2;2;2;2;1;0
1478 29.10.2019;0;8;8;6;2;3;2;5;5;2;0;0
1478 5.11.2019;0;2;4;2;3;3;27;29;1;2;0;0
1478 12.11.2019;0;6;7;6;6;16;20;3;5;1;0;0
1478 19.11.2019;0;1;1;0;0;0;1;4;6;6;5;0
1478 26.11.2019;0;4;7;6;2;2;2;5;6;1;1;1
1478 3.12.2019;0;2;2;6;5;1;1;5;6;0;0;0
1478 10.12.2019;0;1;2;10;9;10;10;6;6;6;0;0
1478 17.12.2019;0;1;2;2;6;20;20;16;15;1;2;2
1478 24.12.2019;0;0;1;1;1;1;1;1;0;0;1;0
1478 31.12.2019;0;0;1;2;2;2;2;2;1;1;1;1
